,id,lai,wetness,treeSpecies,Sentinel_2A_B2,Sentinel_2A_B3,Sentinel_2A_B4,Sentinel_2A_B5,Sentinel_2A_B6,Sentinel_2A_B7,Sentinel_2A_B8,Sentinel_2A_B8a,Sentinel_2A_B11,Sentinel_2A_B12
1,1,0.1,0.84,oak,0.1695041288300391,0.2119391273576382,0.23326667102982365,0.2761330791727368,0.3211833743143087,0.34147944532797736,0.3606602331838167,0.3689366376235709,0.42522878567521755,0.37198489685651076
2,2,2.6,0.36,predominantly_oak,0.03327304420739317,0.11787920544681817,0.03625036273474116,0.16881651517050358,0.4033940311475182,0.4440489535587968,0.4486965164819556,0.4503032543965208,0.22117691127515465,0.08469700492640647
3,3,2.2,0.41,oak,0.03584507987464892,0.12087814389195974,0.038568787020957326,0.17259230383649118,0.4047581281571209,0.44504547851768167,0.4504388279459064,0.45238170113975906,0.23662277800566228,0.09677969262329342
4,4,3.1,0.16,mixed,0.030955919392596582,0.11231147647259568,0.03282861688220821,0.16249201125885032,0.4385375786641292,0.49187271354333595,0.4947670576665833,0.4956182447752457,0.25586460259742416,0.10818695628988322
5,5,8.4,0.34,predominantly_pine,0.03391079849118906,0.11743929394177771,0.035273305933870444,0.16908892008833418,0.4547853192812004,0.5193992833827897,0.5248322498908521,0.52660414078948,0.2484613971948051,0.10388018833021749
6,6,5.9,0.35,predominantly_beech,0.03591556155229733,0.12573851347531265,0.038369412984709,0.17799925752407428,0.4611344897374508,0.5203054706772837,0.5238015894190767,0.5248278309502479,0.2535249994933097,0.10771381435523943
7,7,6.7,0.02,predominantly_beech,0.03475403296306491,0.12530304381772162,0.03797153308278159,0.17769155971748513,0.45345400359778637,0.5090936954739946,0.5125209712755097,0.5135313495698914,0.2452719222328565,0.10085088894553436
8,8,0.9,0.6,predominantly_oak,0.05152465539186998,0.12743670533240278,0.0632733118035535,0.18001417406893114,0.3559962661039034,0.38616768504415944,0.39490893011332895,0.3984772412450433,0.27590853236998114,0.14607912246308677
9,9,2.0,0.67,predominantly_oak,0.037608149950013194,0.12201418666456573,0.04070296389650672,0.17378085018374986,0.40517309475815605,0.4456361517517679,0.4515378920291663,0.4537820761233113,0.24425895477429238,0.10190798240040112
10,10,1.4,0.68,oak,0.05070930104764097,0.14506441420258573,0.05840664651291219,0.20001184203515857,0.39614060346678454,0.42768813331078187,0.4347485488875791,0.43751745648405926,0.25015155981013426,0.11452816230726443
11,11,5.8,0.36,predominantly_oak,0.04216070485917877,0.14488282258230387,0.04822029616033118,0.19836660225427913,0.4433577239269265,0.4867759768802276,0.49013261607515485,0.4911159153825097,0.22722043934274844,0.09172519201275407
12,12,5.9,0.62,predominantly_pine,0.031888221171963126,0.11066343882853835,0.03238699236607246,0.16128049837130365,0.4561061341494642,0.5243044302371713,0.5293825824287072,0.5310706599812021,0.2625540599481621,0.11195874314128221
13,13,4.8,0.71,mixed,0.03229746879998809,0.11499138596185958,0.03422454003785339,0.1665108582694788,0.44706785688851847,0.5076963840045482,0.5133025793462924,0.5152297365807386,0.25200148059840655,0.10464002000980045
14,14,2.3,0.17,predominantly_pine,0.03232924384529773,0.11222892306237504,0.03420239729066151,0.1614479222266559,0.4055727192393568,0.44908608603000216,0.4529913960589318,0.45430127376473217,0.24347376188121056,0.10203207833962329
15,15,3.0,0.65,beech,0.036561987200415536,0.12526771098226994,0.03927322018653259,0.177268195253599,0.4322903390148209,0.4799300319562164,0.484800682963644,0.48651409549545704,0.2451850710551083,0.10149236678892727
16,16,4.5,0.21,oak,0.03179759179793028,0.10800711262460938,0.03223485237133226,0.15777872281551747,0.4230771383451022,0.4794134378464146,0.48549227811085577,0.48761617172610233,0.23465481658542012,0.09315447688832798
17,17,3.5,1.0,mixed,0.038237855080023704,0.13363429576338084,0.043300423269466315,0.18820343544469234,0.43967553147134486,0.48819878703073255,0.49524664684525244,0.49785580280412395,0.24704030171354732,0.10216239035153837
18,18,2.0,0.2,mixed,0.030954743899818272,0.11098893599685765,0.03418501579951429,0.16012374185475173,0.3907662852590101,0.43009925694734463,0.4343201601773972,0.4357718334926689,0.23455866192242486,0.09605430956084861
19,19,5.6,0.7,mixed,0.030596872481016425,0.10720898542673146,0.03100717304859584,0.1565678076166342,0.43713168714252076,0.49715591182466085,0.5008969555200975,0.5020485871059237,0.23493758392436873,0.0924036256145271
20,20,6.6,0.51,beech,0.0379500329376687,0.12723507972779696,0.03982811386735864,0.17979827125198322,0.43851268240517616,0.4899991687280093,0.4950486818256927,0.49671054891804045,0.23032921151168562,0.09196360141016388
21,21,0.4,0.39,pine,0.0657711416681774,0.11282779428204995,0.08749898687255983,0.15638220989862947,0.2544840467600448,0.27476397370539957,0.2856078187928103,0.2900994133207735,0.28095973780543604,0.19238228606036492
22,22,4.6,0.63,predominantly_oak,0.03660532862131806,0.12066160748600697,0.0369263803858239,0.17211640030574318,0.4287477858610008,0.4787913580051659,0.4836815879998467,0.48534821241408965,0.23200651214961673,0.0915578566883606
23,23,6.8,0.16,mixed,0.031094013686062277,0.11049748729393058,0.03264918247043218,0.16075507458808555,0.439521803534748,0.5011226748117712,0.506378395353016,0.5081314504724295,0.24183298920983523,0.09790095224238496
24,24,7.1,0.39,beech,0.030515855275331037,0.10740007885751592,0.031338340748968685,0.15811779320921224,0.45613789104067365,0.5288880674264421,0.5356810175184271,0.5380461374856883,0.26636977144797097,0.11430390566674463
25,25,5.3,0.6,predominantly_pine,0.03253197390899505,0.11723046555377789,0.035069201370093825,0.16870951584631272,0.4480322334867604,0.5076207690115102,0.5124661121570938,0.5140530399271103,0.24593561231951877,0.10126423542019417
26,26,8.4,0.51,predominantly_pine,0.03271765340214615,0.1163049990109731,0.03501587476933069,0.16818518649152378,0.44518566074788557,0.5068139685973356,0.5132781279280153,0.5155282248643366,0.24897441653280608,0.10290640073569005
27,27,5.6,0.52,mixed,0.03261042248993097,0.11234894913018417,0.033715953004497985,0.16285192566428314,0.43308901851708315,0.4915260548274274,0.4974964820442777,0.499594311739449,0.24457646335990338,0.0995893934409448
28,28,4.7,0.33,mixed,0.030317718611689998,0.1085777041373395,0.031316053772978976,0.15845892401184014,0.4372897829162206,0.4945279003848044,0.49801130160469936,0.49907165285700567,0.23854438979883166,0.09432044983930174
29,29,3.7,0.4,oak,0.03723462037940559,0.11945151680157032,0.037049400739838464,0.16982478094551393,0.4127106766271844,0.45786905282752827,0.4625359031596122,0.4641242459791133,0.22036773669730056,0.08495666588877859
30,30,1.5,0.35,oak,0.0376128936366388,0.11479882653011714,0.0407309380952043,0.16420871992460778,0.37026063630289024,0.40599219437325795,0.41249193388153826,0.41494762742637714,0.23943435279156533,0.10525951954006892
31,31,3.4,0.54,predominantly_oak,0.03446622948923053,0.12128352974237998,0.036847993075216835,0.17318070881057546,0.42456854986392784,0.4704502987750187,0.4749568140621989,0.47650187169074226,0.23306506166636148,0.09124975927589869
32,32,1.1,0.98,oak,0.058101170759172927,0.1406222739379671,0.06889501884868982,0.20069813967790473,0.39516951361651503,0.43114396833403623,0.4430937386065754,0.44807236599169314,0.28409316747901675,0.1424297655263079
33,33,3.6,0.69,predominantly_pine,0.03303458256953554,0.11641633771876554,0.035428701754841335,0.16753273887817666,0.43714095534943026,0.4929521108885947,0.49881497554461485,0.5009274376876818,0.2568315981142052,0.10837613465205169
34,34,6.0,0.44,mixed,0.032829952983172504,0.11366970790661483,0.03401129346267658,0.16466935857798332,0.4340436247030015,0.49132564734540346,0.4970561868474825,0.4990208985506216,0.23702397080175963,0.0945467216741233
35,35,5.9,0.41,oak,0.03977892920112797,0.14100366877218942,0.046572482199292414,0.19552675411210865,0.4336920518442747,0.476778158543707,0.48194066993886214,0.48366499984782463,0.22264288086649098,0.08709269931120331
